arm	condition	artifact_path	SHA-256	row_count	ordered_ID_hash	source_frame_count	hardware_runtime_lineage	runner_artifact_family	status
point	mirror	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_examples.csv	e5431fa4f9ff4007f2d0f7df65aed9302f12a5da6211f61db8cc1e07acff1015	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point	mismatch	data/external/execution/v11-final-2653-20260830-f8349fa0/shards/stage1_wrong/point/worker_0/records.jsonl	42ce5a06ad5a24717b591cc5d86e2855fc956baed72043a0f749e17f77b287c8	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; final v11 Option-B wrong-only production lineage; batch size 2	frozen production_stage1_wrong_runner.py; output schema stage1_wrong.v1	FINAL_OPTION_B
plain_desc	source	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_desc_examples.csv	6ea9785a2f49943ceddf6b3cf6b3a5d38c579f8ee7a8f99a5e47d63c1b5aa32e	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain_desc	grey	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_desc_examples.csv	6ea9785a2f49943ceddf6b3cf6b3a5d38c579f8ee7a8f99a5e47d63c1b5aa32e	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain_desc	mask	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_desc_examples.csv	6ea9785a2f49943ceddf6b3cf6b3a5d38c579f8ee7a8f99a5e47d63c1b5aa32e	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain_desc	noise	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_desc_examples.csv	6ea9785a2f49943ceddf6b3cf6b3a5d38c579f8ee7a8f99a5e47d63c1b5aa32e	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain_desc	mirror	./reports/runs/_meta/sufficiency_battery/20260625_201107/plain_desc_examples.csv	6ea9785a2f49943ceddf6b3cf6b3a5d38c579f8ee7a8f99a5e47d63c1b5aa32e	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
plain_desc	mismatch	data/external/execution/v11-final-2653-20260830-f8349fa0/shards/stage1_wrong/plain_desc/worker_0/records.jsonl	a3998049d2ddce805c34d1d50644f725e3c165697fb03802ac91cfd85017b83d	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; final v11 Option-B wrong-only production lineage; batch size 2	frozen production_stage1_wrong_runner.py; output schema stage1_wrong.v1	FINAL_OPTION_B
point_desc	source	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_desc_examples.csv	78fb8cc6169b3bb97242d738246bd080fd670e5ed5705ac4f35744cd7931e0f1	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point_desc	grey	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_desc_examples.csv	78fb8cc6169b3bb97242d738246bd080fd670e5ed5705ac4f35744cd7931e0f1	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point_desc	mask	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_desc_examples.csv	78fb8cc6169b3bb97242d738246bd080fd670e5ed5705ac4f35744cd7931e0f1	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point_desc	noise	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_desc_examples.csv	78fb8cc6169b3bb97242d738246bd080fd670e5ed5705ac4f35744cd7931e0f1	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point_desc	mirror	./reports/runs/_meta/sufficiency_battery/20260625_201107/point_desc_examples.csv	78fb8cc6169b3bb97242d738246bd080fd670e5ed5705ac4f35744cd7931e0f1	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; retained historical Stage-1 sufficiency-battery lineage	scripts/sufficiency_battery.py; per-arm *_examples.csv (canonical assembled battery)	FINAL_RETAINED_HISTORICAL
point_desc	mismatch	data/external/execution/v11-final-2653-20260830-f8349fa0/shards/stage1_wrong/point_desc/worker_0/records.jsonl	60a897a5e37bd55927882f9332808db8e97bc4d682ed8d27f0d8d8983795a84d	2653	6e1f75d9d3d172b480f0812e044fc29b4869d346432d3cd4821cc6d7c45dbd1d	2400	manyee NVIDIA RTX 3090; final v11 Option-B wrong-only production lineage; batch size 2	frozen production_stage1_wrong_runner.py; output schema stage1_wrong.v1	FINAL_OPTION_B
