arm	record_id	source_frame_id	gold_label	pred_source	correct_source	pred_grey	correct_grey	pred_mismatch	correct_mismatch	pred_mask	correct_mask	pred_noise	correct_noise	pred_mirror	correct_mirror
plain	1272	1150	2	2	1	2	1	1	0	2	1	2	1	2	1
plain	2276	2052	1	3	0	3	0	1	1	3	0	3	0	3	0
plain	1884	1701	3	1	0	3	1	1	0	0	0	0	0	1	0
plain	1246	1127	1	1	1	3	0	3	0	1	1	1	1	1	1
plain	1713	1549	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	174	158	3	1	0	0	0	1	0	0	0	0	0	1	0
plain	1001	912	0	0	1	2	0	0	1	0	1	2	0	0	1
plain	2603	2355	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	967	882	1	1	1	2	0	3	0	1	1	1	1	1	1
plain	968	882	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	969	882	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	2493	2253	1	1	1	2	0	1	1	1	1	1	1	1	1
plain	1735	1568	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	668	608	2	2	1	1	0	2	1	3	0	1	0	2	1
plain	846	773	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1778	1606	1	1	1	1	1	3	0	0	0	1	1	1	1
plain	2259	2036	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	126	120	1	2	0	1	1	1	1	2	0	0	0	2	0
plain	1367	1236	0	0	1	0	1	2	0	0	1	0	1	0	1
plain	1386	1254	1	1	1	1	1	0	0	1	1	1	1	1	1
plain	2496	2256	3	3	1	2	0	2	0	2	0	2	0	3	1
plain	944	865	3	1	0	1	0	3	1	0	0	0	0	1	0
plain	1119	1015	0	0	1	0	1	3	0	3	0	2	0	0	1
plain	998	909	0	1	0	3	0	0	1	0	1	0	1	1	0
plain	1827	1651	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2154	1937	0	0	1	2	0	3	0	0	1	2	0	0	1
plain	2153	1937	3	3	1	2	0	0	0	0	0	0	0	3	1
plain	1737	1570	0	0	1	3	0	1	0	2	0	1	0	0	1
plain	1269	1147	2	2	1	0	0	2	1	2	1	2	1	2	1
plain	2312	2086	3	3	1	1	0	1	0	1	0	3	1	3	1
plain	1472	1336	3	0	0	0	0	0	0	3	1	3	1	0	0
plain	1325	1197	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1310	1184	1	3	0	3	0	1	1	3	0	1	1	3	0
plain	2029	1828	2	2	1	0	0	3	0	1	0	1	0	0	0
plain	726	660	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1460	1325	0	0	1	0	1	1	0	0	1	0	1	0	1
plain	239	221	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	233	215	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1496	1357	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	518	468	3	0	0	1	0	1	0	1	0	1	0	0	0
plain	2337	2107	1	1	1	2	0	1	1	0	0	1	1	1	1
plain	2336	2107	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	214	196	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2260	2037	2	2	1	3	0	2	1	2	1	2	1	2	1
plain	2566	2320	0	0	1	2	0	2	0	0	1	2	0	0	1
plain	1882	1699	3	3	1	1	0	2	0	3	1	3	1	3	1
plain	687	626	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1426	1292	3	3	1	3	1	1	0	3	1	3	1	3	1
plain	287	266	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1070	971	2	2	1	3	0	3	0	2	1	3	0	2	1
plain	2216	1998	0	0	1	3	0	3	0	2	0	3	0	0	1
plain	2109	1898	2	2	1	1	0	1	0	1	0	1	0	2	1
plain	315	293	3	3	1	3	1	1	0	1	0	1	0	3	1
plain	1608	1456	1	1	1	2	0	3	0	2	0	2	0	2	0
plain	108	103	1	1	1	2	0	1	1	1	1	1	1	1	1
plain	1260	1139	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	324	301	1	1	1	3	0	0	0	0	0	3	0	1	1
plain	443	407	2	2	1	3	0	3	0	3	0	3	0	2	1
plain	577	521	0	0	1	2	0	2	0	2	0	0	1	0	1
plain	549	497	1	3	0	0	0	1	1	3	0	3	0	3	0
plain	2006	1809	3	3	1	0	0	3	1	3	1	3	1	3	1
plain	714	651	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	632	573	3	0	0	0	0	0	0	0	0	0	0	2	0
plain	2048	1844	3	3	1	2	0	2	0	3	1	3	1	3	1
plain	220	202	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1183	1075	3	3	1	3	1	0	0	3	1	3	1	3	1
plain	22	23	1	2	0	3	0	2	0	2	0	2	0	2	0
plain	1004	915	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	908	831	3	2	0	1	0	1	0	1	0	1	0	1	0
plain	1338	1209	0	0	1	2	0	2	0	0	1	0	1	0	1
plain	1767	1596	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1337	1209	2	1	0	1	0	1	0	1	0	1	0	1	0
plain	607	550	3	0	0	0	0	0	0	0	0	0	0	0	0
plain	1486	1348	2	2	1	2	1	1	0	2	1	2	1	2	1
plain	2314	2088	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	1300	1176	1	1	1	3	0	1	1	1	1	1	1	1	1
plain	2476	2236	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	1444	1309	2	2	1	2	1	2	1	0	0	0	0	2	1
plain	2213	1995	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	116	111	3	3	1	2	0	3	1	3	1	2	0	3	1
plain	2068	1860	0	0	1	0	1	1	0	1	0	0	1	0	1
plain	1897	1712	0	2	0	1	0	2	0	0	1	0	1	2	0
plain	2307	2081	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	176	160	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2378	2144	1	1	1	3	0	1	1	1	1	1	1	1	1
plain	1304	1180	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2207	1989	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	2285	2061	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	2286	2061	2	2	1	0	0	2	1	2	1	0	0	2	1
plain	38	38	2	2	1	0	0	3	0	2	1	2	1	2	1
plain	2147	1933	2	2	1	0	0	2	1	0	0	0	0	2	1
plain	2468	2228	2	0	0	0	0	0	0	3	0	0	0	0	0
plain	218	200	0	0	1	0	1	1	0	0	1	0	1	0	1
plain	956	873	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	957	873	3	0	0	0	0	3	1	0	0	0	0	3	1
plain	2600	2352	0	0	1	0	1	2	0	0	1	0	1	0	1
plain	217	199	1	1	1	0	0	0	0	1	1	3	0	1	1
plain	2177	1960	2	1	0	2	1	0	0	1	0	1	0	1	0
plain	1015	923	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	427	392	0	2	0	3	0	0	1	0	1	0	1	2	0
plain	1248	1129	3	3	1	3	1	3	1	2	0	3	1	3	1
plain	2174	1957	1	3	0	3	0	3	0	3	0	3	0	1	1
plain	2581	2333	3	2	0	0	0	0	0	0	0	0	0	2	0
plain	1253	1134	1	1	1	1	1	3	0	1	1	1	1	1	1
plain	2435	2197	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	2436	2197	3	3	1	3	1	2	0	0	0	0	0	3	1
plain	1384	1252	0	0	1	0	1	2	0	0	1	3	0	0	1
plain	2107	1896	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2366	2132	3	3	1	3	1	2	0	3	1	3	1	3	1
plain	1354	1224	0	0	1	1	0	0	1	0	1	0	1	0	1
plain	213	195	1	1	1	1	1	2	0	1	1	0	0	1	1
plain	543	491	3	3	1	3	1	2	0	3	1	3	1	3	1
plain	795	727	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	685	624	0	0	1	0	1	3	0	0	1	0	1	0	1
plain	1631	1476	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	971	884	3	3	1	3	1	3	1	2	0	3	1	3	1
plain	148	137	0	0	1	3	0	3	0	0	1	0	1	0	1
plain	647	588	1	1	1	1	1	0	0	1	1	1	1	1	1
plain	1685	1524	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	120	114	1	1	1	3	0	1	1	1	1	1	1	1	1
plain	2096	1885	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	309	287	0	0	1	0	1	3	0	3	0	0	1	0	1
plain	603	546	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	2438	2199	3	1	0	2	0	3	1	1	0	1	0	1	0
plain	2441	2202	2	2	1	2	1	1	0	2	1	2	1	2	1
plain	497	448	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2455	2215	2	2	1	2	1	2	1	3	0	3	0	2	1
plain	1128	1023	3	3	1	3	1	1	0	1	0	3	1	3	1
plain	2280	2056	3	0	0	0	0	1	0	0	0	0	0	0	0
plain	1664	1506	2	2	1	2	1	2	1	2	1	0	0	2	1
plain	1794	1619	0	2	0	1	0	1	0	0	1	0	1	2	0
plain	297	276	1	0	0	0	0	2	0	0	0	2	0	0	0
plain	2573	2326	1	1	1	0	0	3	0	0	0	1	1	1	1
plain	1470	1334	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	906	829	2	2	1	0	0	1	0	2	1	2	1	2	1
plain	611	554	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2156	1939	3	3	1	1	0	1	0	3	1	1	0	3	1
plain	1873	1690	3	3	1	3	1	1	0	3	1	3	1	3	1
plain	1052	954	3	3	1	0	0	1	0	1	0	1	0	3	1
plain	754	687	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	66	65	3	0	0	3	1	3	1	3	1	0	0	0	0
plain	1110	1007	0	0	1	0	1	3	0	0	1	0	1	0	1
plain	1369	1238	2	3	0	0	0	2	1	2	1	3	0	2	1
plain	71	70	1	1	1	1	1	1	1	0	0	1	1	1	1
plain	103	98	2	2	1	0	0	0	0	0	0	0	0	0	0
plain	268	247	0	3	0	3	0	2	0	3	0	3	0	3	0
plain	267	247	2	2	1	0	0	2	1	0	0	0	0	2	1
plain	952	871	0	0	1	1	0	3	0	0	1	0	1	0	1
plain	1935	1745	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	1372	1241	3	3	1	3	1	0	0	3	1	3	1	3	1
plain	1655	1497	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1375	1244	3	0	0	2	0	3	1	2	0	0	0	0	0
plain	624	565	2	2	1	2	1	2	1	2	1	0	0	0	0
plain	887	812	0	0	1	2	0	2	0	0	1	0	1	0	1
plain	1018	926	2	3	0	3	0	0	0	3	0	2	1	3	0
plain	432	397	3	3	1	0	0	1	0	3	1	3	1	3	1
plain	1765	1594	2	3	0	3	0	0	0	2	1	2	1	3	0
plain	1650	1492	3	3	1	3	1	0	0	3	1	3	1	3	1
plain	2380	2146	1	1	1	2	0	0	0	2	0	1	1	1	1
plain	1898	1713	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	2102	1891	1	1	1	2	0	2	0	1	1	2	0	1	1
plain	480	435	2	3	0	3	0	3	0	3	0	3	0	3	0
plain	2190	1972	3	1	0	3	1	3	1	3	1	3	1	1	0
plain	467	425	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	468	425	3	3	1	0	0	3	1	3	1	3	1	3	1
plain	782	714	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	275	254	2	2	1	0	0	2	1	2	1	2	1	2	1
plain	72	71	0	0	1	3	0	3	0	0	1	0	1	0	1
plain	2511	2270	2	2	1	2	1	3	0	2	1	2	1	2	1
plain	319	297	1	0	0	0	0	0	0	1	1	0	0	1	1
plain	2575	2328	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1999	1803	0	0	1	2	0	3	0	3	0	3	0	0	1
plain	2362	2128	0	0	1	1	0	0	1	0	1	0	1	0	1
plain	2414	2177	0	0	1	0	1	3	0	0	1	0	1	0	1
plain	2413	2177	3	3	1	0	0	3	1	3	1	3	1	3	1
plain	1382	1250	1	1	1	1	1	0	0	1	1	1	1	1	1
plain	731	665	0	0	1	1	0	0	1	0	1	0	1	0	1
plain	925	846	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	732	666	1	3	0	3	0	3	0	3	0	0	0	3	0
plain	1788	1614	2	2	1	0	0	2	1	2	1	0	0	2	1
plain	700	637	2	2	1	0	0	2	1	2	1	2	1	2	1
plain	2442	2203	3	3	1	3	1	3	1	3	1	3	1	2	0
plain	1501	1361	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1151	1045	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1276	1154	3	3	1	1	0	3	1	3	1	3	1	3	1
plain	1846	1667	3	3	1	0	0	3	1	3	1	3	1	3	1
plain	1443	1308	1	2	0	2	0	2	0	2	0	2	0	2	0
plain	1048	951	3	1	0	0	0	2	0	0	0	1	0	1	0
plain	2462	2222	3	3	1	2	0	2	0	2	0	2	0	3	1
plain	2146	1932	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	193	175	0	0	1	1	0	0	1	0	1	0	1	0	1
plain	1105	1002	3	3	1	0	0	3	1	3	1	3	1	3	1
plain	1763	1592	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1762	1592	2	2	1	2	1	2	1	2	1	0	0	2	1
plain	2193	1975	1	1	1	0	0	0	0	1	1	1	1	1	1
plain	1782	1609	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	589	532	0	0	1	3	0	0	1	3	0	0	1	0	1
plain	1982	1788	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	138	129	2	2	1	3	0	2	1	3	0	3	0	2	1
plain	2125	1913	3	3	1	1	0	0	0	3	1	3	1	3	1
plain	1351	1221	2	2	1	3	0	2	1	3	0	3	0	2	1
plain	2637	2387	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	1440	1305	1	3	0	1	1	1	1	2	0	1	1	3	0
plain	1950	1759	3	3	1	3	1	3	1	2	0	3	1	3	1
plain	2527	2284	3	3	1	3	1	2	0	3	1	3	1	3	1
plain	987	899	0	2	0	2	0	2	0	0	1	0	1	2	0
plain	1278	1156	3	3	1	0	0	1	0	1	0	3	1	0	0
plain	900	823	1	3	0	3	0	2	0	0	0	0	0	2	0
plain	620	561	3	3	1	0	0	0	0	3	1	0	0	3	1
plain	2192	1974	2	2	1	2	1	1	0	2	1	2	1	2	1
plain	279	258	0	0	1	0	1	2	0	0	1	0	1	0	1
plain	1549	1405	3	3	1	0	0	2	0	0	0	0	0	3	1
plain	1694	1531	0	0	1	0	1	0	1	2	0	2	0	0	1
plain	1693	1531	1	2	0	2	0	2	0	2	0	2	0	2	0
plain	1288	1164	1	3	0	3	0	3	0	3	0	3	0	3	0
plain	1961	1769	1	1	1	1	1	1	1	1	1	3	0	1	1
plain	1432	1298	1	0	0	0	0	0	0	2	0	0	0	0	0
plain	1836	1658	1	0	0	0	0	0	0	0	0	0	0	0	0
plain	936	857	2	2	1	2	1	1	0	2	1	2	1	2	1
plain	651	592	0	0	1	0	1	2	0	0	1	1	0	0	1
plain	284	263	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1217	1104	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	70	69	3	3	1	2	0	2	0	2	0	3	1	3	1
plain	1856	1676	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1981	1787	1	1	1	0	0	2	0	1	1	1	1	1	1
plain	1518	1376	2	2	1	1	0	0	0	1	0	1	0	2	1
plain	2526	2283	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2627	2378	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	45	45	0	0	1	3	0	2	0	0	1	0	1	0	1
plain	1567	1418	2	2	1	0	0	0	0	1	0	0	0	2	1
plain	1379	1247	1	1	1	3	0	3	0	2	0	2	0	1	1
plain	2433	2195	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	1569	1420	3	3	1	2	0	2	0	3	1	3	1	3	1
plain	2618	2370	1	0	0	1	1	0	0	1	1	1	1	0	0
plain	2206	1988	0	3	0	3	0	3	0	3	0	3	0	3	0
plain	2348	2117	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	410	377	0	2	0	0	1	0	1	2	0	0	1	2	0
plain	1731	1565	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1732	1565	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2405	2169	1	2	0	2	0	2	0	2	0	2	0	2	0
plain	226	208	2	3	0	3	0	3	0	3	0	3	0	3	0
plain	1749	1580	3	3	1	2	0	1	0	1	0	1	0	3	1
plain	1730	1564	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	814	745	0	0	1	3	0	3	0	3	0	3	0	0	1
plain	19	20	1	1	1	1	1	0	0	1	1	1	1	1	1
plain	2011	1812	1	1	1	3	0	1	1	1	1	1	1	3	0
plain	2419	2181	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	311	289	2	2	1	1	0	2	1	1	0	1	0	2	1
plain	964	879	3	0	0	1	0	0	0	0	0	0	0	0	0
plain	1035	941	0	2	0	3	0	0	1	3	0	3	0	3	0
plain	2344	2113	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	1349	1219	1	1	1	3	0	3	0	1	1	1	1	1	1
plain	891	816	1	1	1	1	1	3	0	1	1	1	1	1	1
plain	187	169	0	0	1	2	0	0	1	2	0	2	0	0	1
plain	87	84	1	1	1	3	0	3	0	3	0	3	0	1	1
plain	2408	2172	3	3	1	1	0	1	0	1	0	1	0	3	1
plain	1442	1307	2	2	1	3	0	2	1	2	1	2	1	2	1
plain	1860	1680	2	2	1	0	0	0	0	0	0	0	0	2	1
plain	631	572	0	0	1	1	0	1	0	0	1	0	1	0	1
plain	67	66	2	1	0	1	0	1	0	1	0	1	0	1	0
plain	2615	2367	3	1	0	3	1	3	1	1	0	3	1	1	0
plain	2225	2005	0	0	1	0	1	1	0	0	1	0	1	0	1
plain	2025	1824	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	787	719	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2058	1852	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	381	351	3	3	1	0	0	1	0	2	0	2	0	3	1
plain	2133	1921	2	3	0	3	0	0	0	3	0	3	0	3	0
plain	61	60	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1533	1391	3	0	0	1	0	0	0	2	0	2	0	0	0
plain	639	580	3	3	1	0	0	0	0	3	1	3	1	3	1
plain	1391	1259	2	1	0	1	0	2	1	1	0	1	0	1	0
plain	1454	1319	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	425	390	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	424	390	2	3	0	0	0	1	0	0	0	1	0	3	0
plain	1277	1155	2	0	0	0	0	0	0	0	0	0	0	0	0
plain	246	226	0	0	1	2	0	1	0	0	1	2	0	0	1
plain	2305	2079	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	2309	2083	1	1	1	3	0	3	0	3	0	3	0	1	1
plain	134	126	0	0	1	2	0	3	0	0	1	0	1	0	1
plain	133	126	2	2	1	2	1	0	0	2	1	2	1	2	1
plain	135	126	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	562	508	1	1	1	3	0	2	0	2	0	3	0	1	1
plain	2467	2227	1	1	1	1	1	1	1	1	1	1	1	1	1
plain	1647	1490	2	2	1	1	0	3	0	2	1	3	0	2	1
plain	883	808	0	0	1	3	0	2	0	3	0	3	0	0	1
plain	515	465	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	2403	2167	1	1	1	1	1	2	0	1	1	1	1	1	1
plain	2402	2167	2	2	1	1	0	3	0	2	1	2	1	2	1
plain	2056	1851	2	3	0	3	0	3	0	3	0	3	0	2	1
plain	2057	1851	0	0	1	3	0	0	1	0	1	0	1	0	1
plain	789	721	3	3	1	2	0	3	1	3	1	1	0	3	1
plain	348	320	0	0	1	0	1	3	0	0	1	0	1	0	1
plain	1892	1707	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	1033	939	3	3	1	3	1	3	1	3	1	3	1	3	1
plain	721	656	1	1	1	3	0	0	0	3	0	0	0	1	1
plain	486	440	3	3	1	3	1	0	0	3	1	3	1	3	1
plain	485	440	0	2	0	2	0	2	0	2	0	2	0	2	0
plain	2323	2096	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	680	619	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1092	990	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1469	1333	2	2	1	3	0	2	1	1	0	1	0	2	1
plain	545	493	0	0	1	2	0	0	1	0	1	2	0	0	1
plain	1531	1389	2	0	0	0	0	0	0	0	0	0	0	0	0
plain	822	752	2	2	1	2	1	2	1	2	1	2	1	2	1
plain	1520	1378	0	0	1	0	1	0	1	0	1	0	1	0	1
plain	89	86	0	3	0	0	1	1	0	0	1	0	1	3	0
